trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",25,10,7.201108712853592,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",30,0,19.484693103498202,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,16,6.364310911701965,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",35,25,8.797913084111524,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,12,1.9558665707053455,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,2,15.906929047332044,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",25,2,-9.377319403689697,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",25,19,10.520608056837226,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,11,15.921158977089608,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",20,0,-14.515447923682729,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
181,False,"{'a': 0.01, 'e': 0.16365413680270405}",20,0,-3.703970303354068,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.01, 'e': 0.16202575093388075}",20,0,-11.137955668995057,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
